Nombre_Empresa,Id_Empleo,Ciudad,Categoria,Sueldo,Publicado,Vencimiento,Descripcion,Nombre_cargo,Enlace
QUIMIZA LTDA.,715550,"La Paz, Bolivia","Marketing y Ventas,Medicina y Salud ",No Declarado ,01 Febrero 2019,03 Marzo 2019,supervisor de visita medicasede la paz requisitos licenciado en bioquimica y farmacia medicina o ingenieria comercial conocimiento del mercado farmaceutico experiencia en liderazgo de equipos conocimiento en gestion de ventas disponibilidad de viajes a oruro  te ofrecemos pertenecer a un grupo empresarial internacional remuneracion acorde al desempeno y a las responsabilidades del cargo excelente ambiente de trabajolas personas interesadas que cumplan el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Supervisor(a) de Visita Médica - La Paz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/715550/Supervisor(a)-de-Visita-Médica---La-Paz.html?searchId=1546400657&page=1
Empresa,714847,"Santa Cruz de la Sierra, Bolivia",Recursos Humanos ,Negociable ,01 Febrero 2019,03 Marzo 2019,empresa solida busca incorporar a su staff un encargado de recursos humanossede santa cruz de la sierrarequisitos formacion lic en administracion de empresas o ramas afines experiencia de 3 anos en manejo de personal tramites en caja nacional ministerio de trabajo afps conocimiento y manejo de ms office elaboracion y presentacion de planillas a la caja nacional y ministerio de trabajo elaboracion de planillas para subsidios elaboracion de informescompetencias liderazgo y proactividad capacidad de trabajo en equipo rendimiento bajo presion salarioa convenir las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Encargado(a) de Recursos Humanos - Santa Cruz de la Sierra,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/714847/Encargado(a)-de-Recursos-Humanos---Santa-Cruz-de-la-Sierra.html?searchId=1546400657&page=1
Telchi Ltda.,715541,"Santa Cruz de la Sierra, Bolivia",Ingeniería ,No Declarado ,01 Febrero 2019,03 Marzo 2019,nuestra empresa con base en santa cruz de la sierra requiere incorporar un perfil de alto nivel para ocupar el cargos de tecnico en mantenimiento requisitos titulado en ing electromecanica ing en mecanica industrial o ramas afines experiencia de 2 anos en cargos similares conocimiento en electricidad industrial experiencia en manejo correctivo y preventivo de equiposcompetencias trabajo en equipo tolerancia bajo presion orientacion de resultados proactividad dinamismo y responsabilidad las personas interesadas que cumplan el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Tecnico en Mantenimiento,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/715541/Tecnico-en-Mantenimiento.html?searchId=1546400657&page=1
Kieffer y Asociados S.A. Corredores de Seguros,715525,"Santa Cruz de la Sierra, Bolivia",Administración y Oficina ,No Declarado ,01 Febrero 2019,03 Marzo 2019,buscamos el mejor talento y queremos brindarte la oportunidad de desarrollar tus habilidades y fortalecer tus competencias si tu objetivo es poner en practica tus conocimientos vencer desafios y profesionalizarte kieffer  asociados corredores de seguros te invita a formar parte de nuestro equipo de trabajo y postularte para asistente de contabilidadsede santa cruz descripcionapoyar la gestion del area de contabilidad con las tareas operativas y tecnicas desarrolladas por administracion y servicios que consisten en realizar las provisiones de facturas proveedores registro de rendicion de fondos conciliaciones bancarias de clientes y proveedores tramites en oficinas publicas apoyo en la elaboracion y cierre de estados financieros competencias tecnicas egresado yo cursando ultimos semestres de auditoria financiera contaduria publica yo ramas afines conocimientos de ofimatica word excel e internet a nivel intermedio  conocimientos de paquetes contables  experiencia minima en cargos similares  idioma ingles a nivel intermedio competencias especificas actitud de servicio trabajo en equipo trabajo bajo presion proactividad responsabilidad honestidad confidencialidad te ofrecemos desarrollar al maximo tus habilidades y competencias logrando profesionales exitosos con un plan de desarrollo profesional cuidar de tu salud con beneficios de seguro medico privado velar por tu estabilidad laboral en un ambiente saludable y seguro  las personas interesadas postularse con hoja de vida y pretension salarial por trabajopolisbo,Asistente de Contabilidad - Santa Cruz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/715525/Asistente-de-Contabilidad---Santa-Cruz.html?searchId=1546400657&page=1
WORLOG SRL,715348,"Cochabamba, Bolivia",Marketing y Ventas ,No Declarado ,01 Febrero 2019,03 Marzo 2019,pasante para el area comercialtipo de pasantia beca capacitacion con opcion a trabajo en plantarequisitos egresado o titulado en ingenieria comercial o afines a comercio exterior conocimiento y habilidades solidas en comercializacion y tecnicas comerciales habilidad para establecer relaciones interpersonales capacidad de negociacion y trabajo en equipoofrecemos crecimiento profesional en el area de comercio exterior importaciones y exportaciones excelente ambiente laboral  bono de viaticos durante la pasantia beca  capacitacionenviar su hoja de vida con carta de presentacion por trabajopolisbo,Pasante para el Área Comercial,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/715348/Pasante-para-el-Área-Comercial.html?searchId=1546400657&page=1
Empresa Comercial Industrial,715451,"Santa Cruz de la Sierra, Bolivia",Marketing y Ventas ,No Declarado ,01 Febrero 2019,03 Marzo 2019,empresa lider en produccion y comercializacion de productos de consumo masivo linea hogar y baterias te invita a formar parte de su equipo de trabajo buscamos talentos de primer nivel trade marketing  masivossede santa cruz  requisitos del puesto egresado o profesional en ingenieria comercial marketing y carreras afines conocimiento en merchandising y manejo de personal 2 anos de experiencia en cargos similares en el canal modernoprincipales funciones implementacion de planes de trade marketing para el canal moderno fidelizacion de marcas implementacion del merchandising promociones en pdv capacitacion y desarrollo a equipo bajo su supervision competencias proactividad gestion de recursos direccion de personas ejecutividad ofrecemos remuneracion competitiva acorde a las responsabilidades oportunidades de desarrollo profesional trabajo dinamico y con desafios constantes  las personas interesadas que cumplan el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Trade Marketing - Masivos (Santa Cruz),https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/715451/Trade-Marketing---Masivos-(Santa-Cruz).html?searchId=1546400657&page=1
Grupo Venado,715616,"Santa Cruz de la Sierra, Bolivia","Administración y Oficina,Atención al Cliente ",No Declarado ,01 Febrero 2019,03 Marzo 2019,grupo venado empresa lider a nivel nacional requiere incorporar a su equipo de trabajo en la ciudad de santa cruz un profesional para ocupar el cargo de  analista de experiencia del clientebase santa cruz  objetivopromover y ejecutar acciones que mejoren la satisfaccion de los clientes analizando informacion de diversas fuentes identificando problemas y oportunidades de mejora requisitos titulo en provision nacional en las siguientes carreras ingenieria comercial marketing administracion de empresas u otras relacionadas experiencia de trabajo en atencion directa al cliente en empresas de consumo masivo y call center no excluyente conocimiento de procesos y procedimientos para resolver quejas y conflictos con los clientes experiencia en el manejo de indicadores de desempeno del area kpis conocimientos basicos del sistema de gestion de calidad manejo de office a nivel avanzado competencias  escucha activa y comunicacion efectiva capacidad de analisis y resolucion de conflictos orientacion al cliente  flexibilidad al cambio  las personas interesadas en la postulacion enviar su hoja de vida indicando el cargo de referencia y pretension salarial por trabajopolisbo,Analista de Experiencia del Cliente - Santa Cruz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/715616/Analista-de-Experiencia-del-Cliente---Santa-Cruz.html?searchId=1546400657&page=1
INSTITUCION DE INTERMEDIACION FINANCIERA,715389,"La Paz, Bolivia",Banca y Finanzas ,No Declarado ,01 Febrero 2019,03 Marzo 2019,asesor de creditos  el alto formacion academicalicenciado egresado o tecnico en carreras administrativas financieras agronomia o ramas afines  experiencia laboral experiencia general de 2 anos experiencia especifica de 1 ano en la colocacion y administracion de cartera de credito  conocimientos minimos exigidos experiencia especifica en evaluacion seguimiento monitoreo control en otorgamiento y recuperacion de creditos conocimiento del sector productivo conocimiento en el mercadeo de productos financieros conocimientos en la elaboracion de propuestas de credito ley no 393 de 21 de agosto de 2013 de servicios financieros normativa y procedimientos vigentes de la asfi microsoft office intermedio disponibilidad para realizar viajes  competencias orientacion al logro de resultados calidad en atencion al cliente habilidad de negociacion buena comunicacion escrita y verbal responsable organizado y proactivo capacidad de trabajo en equipo y bajo presion las personas interesadas y que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Asesor (a) de Créditos - El Alto,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/715389/Asesor-(a)-de-Créditos---El-Alto.html?searchId=1546400657&page=1
Banco Mercantil Santa Cruz S.A.,715370,"Santa Cruz de la Sierra, Bolivia","Banca y Finanzas,Marketing y Ventas ",De Bs. 5.000 a Bs. 5.999 ,01 Febrero 2019,03 Marzo 2019,si eres una persona con alta capacidad analitica que cuenta con facilidad de aprendizaje tienes habilidad de negociacion resolucion de conflictos y te consideras lider en donde estes te invitamos a postularte para formar parte del banco mas solido y comprometido con el pais   analista de inteligencia de negocios ref 0619 requisitos titulado en carreras administrativas comerciales yo financieras manejo avanzado de la aplicacion excel y tablas dinamicas se consideraran positivamente especializaciones yo maestrias en analisis de procesos y desarrollo de la calidad se valorara positivamente experiencia en areas similares  experiencia y conocimiento del segmento pyme experiencia en el area crediticia beneficios que ofrecemosa traves de diversos programas de beneficios te ofrecemos la oportunidad de convertirte en un lider altamente preparado capacitaciones programas de certificacion y planes de carrera que impulsan tu ascenso beneficios adicionales para las personas interesadas en gestionar su formacion academica tendras la oportunidad de implementar mejoras a traves del analisis de datos y gestionar la optimizacion de procesos y otros referentes a la mejora continua del flujo comercial pyme no es un trabajo es una carrera  las personas interesadas y que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Analista de Inteligencia de Negocios,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/715370/Analista-de-Inteligencia-de-Negocios.html?searchId=1546400657&page=1
EKE SRL,715552,"Santa Cruz de la Sierra, Bolivia","Administración y Oficina,Marketing y Ventas ",Dependiendo de la Experiencia ,01 Febrero 2019,03 Marzo 2019,en este momento estamos en una de las fases de crecimiento mas emocionantes de nuestra historia si te unes a nuestro equipo de trabajo sentiras la urgencia rapidez y energia que nos mueve todos tienen la oportunidad de crecer con nosotros especialmente las personas que muestran espiritu emprendedor ambicion e inteligenciamerchandise leaderella leader merchandiser es responsable de garantizar la consistencia horizontal en todos los canales de ventas a su vez gestiona la oferta de productos en todas las marcas administra la representacion del catalogo para nuestras categorias y componentes de venta cruzada en areas clave del catalogo lo que garantiza que la cobertura los precios y la catalogacion sean uniformes completos y efectivosel puesto demanda una mentalidad de enfoque priorizacion a la ejecucion y pasion por el trabajo en equiporesponsabilidades administrar un subconjunto de marcas individuales con el mayor potencial de crecimiento dentro del mercado realizar analisis competitivos y comprender la preferencia de la marca dentro del mercado identificar y gestionar las oportunidades de crossselling de estas marcas dentro del mercado supervisar la integracion de marcas dentro del catalogo lo que garantiza precios competitivos y cobertura general utilizar administrar y almacenar datos de proveedores para tomar decisiones en sus ofertas  funciones basicas monitorear el ciclo de vida del productomarca extendiendo la vida del producto e identificando areas de declive o estacionalidad y potencial crecimiento informar sobre el rendimiento de la categorias basadas en la relacion de distribucion asegurar la competitividad y comercializacion efectiva en todas las categorias representadas establecer objetivos y presupuestos para todas las categorias representadas requisitos profesionales en ing comercial marketing administracion de empresas ing industrial yo ramas afines idioma ingles avanzado escrito leido y hablado  excel avanzado power pivot experiencia en cargos similares anterioresperfil debe mantener capacidad de trabajo con enfoque de gestion de resultados amplia habilidad de analisis excelente dinamica con su equipo de trabajo voluntad para trabajar bajo presion impecable honestidadconocimientos en razonamiento critico  analisis de datos ecommerce search engine optimization manejo de equipos de trabajo indicadores de gestion especificos a una categoria de producto organizacion y coordinacion con equipos de trabajo  contact us if you are interested but please dont just send your resume sure were curious where youve been but weve seen thousands of resumes and they seldom tell the story instead help us get to know more about you the person what makes you unique why would we make a huge mistake by not hiring you you get the pointno applications will be considered without a personalized cover letter expressing why you would like to work at eke what transferable skills you have from previous experience that could be applied to our organization what makes you unique and where you think you can add value to the organizationlas personas interesadas que cumplan con el perfil podran remitir su curriculum vitae y carta de presentacion indicando su pretension salarial por trabajopolisbo,Merchandise Leader,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/715552/Merchandise-Leader.html?searchId=1546400657&page=1
Autosud Ltda.,715442,"Santa Cruz de la Sierra, Bolivia",Administración y Oficina ,No Declarado ,01 Febrero 2019,03 Marzo 2019,autosud kia motorsprecisa contratar personal para el siguiente cargo jefe de operaciones requisitos  titulado de carreras de comercio exterior ing financiera administracion de empresas yo ramas afines  diplomado o maestria en comercio internacional  conocimientos solidos en importaciones y normativas aduaneras conocimientos solidos en manejo de inventario  minimo 3 anos de experiencia en agencias aduaneras disponibilidad inmediata competencias honestidad liderazgo facilitador resolucion de conflictos compromiso con la organizacion  las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Jefe de Operaciones,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/715442/Jefe-de-Operaciones.html?searchId=1546400657&page=1
EDV Bolivia S.A.,715390,"La Paz, Bolivia",Administración y Oficina ,No Declarado ,01 Febrero 2019,03 Marzo 2019,la entidad de deposito de valores  es una empresa tecnologica privada que actua como infraestructura del mercado financiero nacional y que se dedica a la custodia fisica administracion compensacion y liquidacion de activos financieros de forma electronica requerimos un profesional para ocupar la siguiente posicion analista de servicios de cobros y pagossede la paz objetivo del puesto   realizar las funciones necesarias para prestar el servicio de cobro de derechos economicos por cuenta de las entidades que hayan suscrito contrato con la edv requisitos  formacion a nivel licenciatura en ciencias economicas o financieras 3 anos de experiencia general experiencia de 1 ano en el sistema financiero o en el mercado de valores  competencias iniciativa mejora continua trabajo bajo presion te ofrecemos formar parte de una de las empresas mas solidas e importantes del mercado de valores un buen ambiente de trabajo capacitacion constante y de alta calidad ingresos competitivos las personas interesadas en postularse pueden hacer llegar su hoja de vida por trabajopolisbo indicando su pretension salarial,Analista de Servicios de Cobros y Pagos - La Paz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/715390/Analista-de-Servicios-de-Cobros-y-Pagos---La-Paz.html?searchId=1546400657&page=1
Asoc. De copropietarios Colinas del Urubo,715381,"Santa Cruz de la Sierra, Bolivia",Contabilidad y Economía ,Negociable ,01 Febrero 2019,03 Marzo 2019,importante organizacion necesita incorporar dentro de su equipo de trabajo en la ciudad de santa cruz de la sierra a una persona para desarrollar funciones como cobrador formacion academica licenciatura en derecho comercial administracion o ramas afines  funciones principales  realizar gestiones cobranzas inicio seguimiento para la consecucion de objetivos  elaborar una vez por semana su cronograma de visitas de quienes se encuentren en estado de mora  tener una base de informacion del control y seguimiento de los deudores  preparar informes mensuales de analisis de la deuda para el directorio  apoyar en la ejecucion de procesos legales en curso  realizar otras tareas relacionadas a la cobranzas  competencias humanas requeridas  integridad  responsabilidad  confidencialidad  honestidad  comunicacion  organizacion  requerimientos especificos  experiencia minima de 2 a 3 anos en cargos similares  experiencia en cobranzas en el sector comercial o financiero  manejo de excel a nivel intermedio a avanzado  conocimiento basico de manejo de sistema contable  bases solidas en redaccion  manejo de microsoft office y outlook  ofrecemos  capacitacion permanente  estabilidad laboral y un buen ambiente de trabajo  remuneracion competitiva de acuerdo con las responsabilidades del cargo y desempeno profesional  contratacion inmediata las personas interesadas deberan enviar su curriculum vitae carta de presentacion y pretension salarial a trabajopolisbo,Cobrador(a) - Santa Cruz de la Sierra,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/715381/Cobrador(a)---Santa-Cruz-de-la-Sierra.html?searchId=1546400657&page=1
Empresa Comercial,715334,"Santa Cruz de la Sierra, Bolivia","Marketing y Ventas,Medicina y Salud ",No Declarado ,01 Febrero 2019,03 Marzo 2019,reconocida empresa boliviana comercializadora de equipamiento medico e insumos para la salud requiere incorporar a su equipo de trabajo unsupervisor nacional de cuentasbase santa cruzobjetivo del puestodesarrollar y supervisar oportunidades de negocios y proyectos de licitaciones relacionados a instituciones publicas haciendolos efectivos y rentables en cuanto al cumplimiento de metas y objetivos del area  formacion y conocimientos requeridos lic en administracion de empresas ingenieria comercial experiencia minima de 3 anos liderando equipos comerciales en el area de salud experiencia en equipos e insumos medicos y mercado de la salud  manejo de microsoft office a nivel intermedio disponibilidad de viaje las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Supervisor(a) Nacional de Cuentas - Santa Cruz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/715334/Supervisor(a)-Nacional-de-Cuentas---Santa-Cruz.html?searchId=1546400657&page=1
Banco Mercantil Santa Cruz S.A.,715187,"La Paz, Bolivia",Banca y Finanzas ,De Bs. 4.000 a Bs. 4.999 ,01 Febrero 2019,02 Marzo 2019,si eres una persona con alta capacidad analitica que cuenta con facilidad de aprendizaje y estas orientada al cumplimiento de metas te invitamos a postularte para formar parte del banco mas solido y comprometido con el pais analista de calidad de sistemas tendras la oportunidad de analizar y verificar que los cambios de procesos nuevas funcionalidades y solucion de problemas que se vayan a implementar en los diferentes sistemas con los que trabaja el banco cumplan con la funcionalidad correcta y mantengan estandares de calidad a nivel usuario de acuerdo a requerimientos aprobados por las areas pertinentes requisitos titulado en la carrera de ingenieria de sistemas informatica ingenieria industrial ingenieria comercial o ramas afines conocimientos de aplicaciones microsoft office word access powerpoint visio conocimientos de excel avanzado conocimientos solidos de plsql conocimientos de istqb  experiencia minima de 1 ano en cargos similares  beneficios que ofrecemosa traves de diversos programas de beneficios te ofrecemos la oportunidad de convertirte en un lider altamente preparado capacitaciones programas de certificacion y planes de carrera que impulsan tu ascenso posibilidad de cursar un mba exclusivo para funcionarios del banco en nuestras instalaciones en convenio con una universidad reconocida beneficios adicionales para las personas interesadas en gestionar su formacion academica no es un trabajo es una carrera las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Analista de Calidad de Sistemas,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/715187/Analista-de-Calidad-de-Sistemas.html?searchId=1546400657&page=1
BPO Center - Hola,715188,"Cochabamba, Bolivia",Informática ,No Declarado ,01 Febrero 2019,03 Marzo 2019,nuestro cliente importante empresa en el rubro de telecomunicaciones requiere contratar personal para incorporar a su equipo de trabajoespecialista de plataformas de gestion sede cochabambaella candidato sera encargado de ejecutar tareas de implementacion administracion y mantenimiento de plataformas de soporte de gestion de acuerdo a las necesidades de la empresa en el marco de la arquitectura de software disenado con el fin de asegurar disponibilidad usabilidad seguridad integridad y performance de la plataforma bajo su responsabilidad de acuerdo a los niveles comprometidoslos requerimientos de la posicion son formacion en ingenieria de sistemas o ramas afines conocimientos en gestion de proyectos conocimientos en gestion plataformas crm conocimientos en sistemas empresariales conocimientos en bases de datos oraclemysql ingles nivel medioestamos interesados en personas con alta capacidad de coordinacion comunicacion e innovacion capacidad de analisis y solucion de problemas orientacion al resultado y orientacion al cliente internolas personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Especialista de Plataformas de Gestión - Cochabamba,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/715188/Especialista-de-Plataformas-de-Gestión---Cochabamba.html?searchId=1546400657&page=1
Grupo Venado,715444,"Santa Cruz de la Sierra, Bolivia","Administración y Oficina,Marketing y Ventas ",No Declarado ,01 Febrero 2019,03 Marzo 2019,grupo venado empresa lider a nivel nacional requiere incorporar a su equipo de trabajo en la ciudad de santa cruz un profesional con alta motivacion para ocupar la posicion de supervisor de ventasbase santa cruz objetivo sera responsable de la gestion de ventas y seguimiento de pedidos de mercaderia dotando de informacion necesaria a la gerencia comercial para el analisis investigacion y planificacion de estrategias comerciales requisitos licenciatura en ingenieria comercial marketing administracion de empresas y ramas afines experiencia minima de 3 anos en posiciones similares liderando equipos de trabajo en empresas de consumo masivo conocimiento en cierre de ventas tecnicas de negociacion y canales de distribucion conocimiento de rutas de distribucion de la ciudad manejo de excel avanzado  competencias orientacion al cliente planificacion y organizacion comunicacion negociacion orientacion a resultados ofrecemos todos los beneficios de ley crecimiento personal y profesional estabilidad laboral sueldo fijo mas comisiones las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Supervisor(a) de Ventas - Santa Cruz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/715444/Supervisor(a)-de-Ventas---Santa-Cruz.html?searchId=1546400657&page=1
Agroseeds,700721,"Santa Cruz de la Sierra, Bolivia",Contabilidad y Economía ,No Declarado ,01 Febrero 2019,03 Marzo 2019,importante empresa agricola necesita contratar los servicios de un contador general requisitos formacion profesional en auditoria o contaduria publica a nivel licenciatura postgrado en gestion impositiva experiencia minima de 5 anos en el cargo en empresas agricolas y silos experiencia indispensable en el manejo del sistema contable tr4 inscrito en el colegio de auditores amplia experiencia en la elaboracion e interpretacion de estados financieros amplio conocimiento en normas impositivas y laborales amplia experiencia en preparacion y analisis de costos experiencia en el manejo de personal conocimiento avanzado en el manejo de windows y office las personas interesadas favor enviar su hoja de vida con fotografia actual indicando su pretension salarial por trabajopolisbo,Contador(a) General,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/700721/Contador(a)-General.html?searchId=1546400657&page=1
IFICORP S.R.L.,700561,"Santa Cruz de la Sierra, Bolivia",Marketing y Ventas ,De Bs. 3.000 a Bs. 3.999 ,01 Febrero 2019,03 Marzo 2019,empresa de consultoria y capacitacion de primer nivel requiere incorporar a su equipo de trabajo el siguiente cargo asesor de ventas crm funciones estar en contacto con empresas medianas y las mas grandes de bolivia ofreciendo via telefonica e internet nuestra plataforma de bizmanager  armar propuestas de consultorias y capacitaciones coordinar y apoyar en las capacitaciones requisitos egresado o titulado en ingenieria comercial administracion de empresas marketing o ramas afines manejo de microsoft office experiencia de 1 ano en cargos similares  trabajo bajo presion cumplimiento de metas beneficios pertenecer a una empresa lider oportunidad de crecimiento al interior de la empresa capacitacion constante trabajo en oficina sueldo basico bonos y comisiones las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Asesor(a) de Ventas CRM,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/700561/Asesor(a)-de-Ventas-CRM.html?searchId=1546400657&page=1
Empresa de Servicios a Nivel Nacional,700936,"Santa Cruz de la Sierra, Bolivia","Administración y Oficina,Diseño y Medios ",No Declarado ,01 Febrero 2019,03 Marzo 2019,importante empresa comercial busca coordinador de responsabilidad social y empresarial base santa cruz requisitos de formacion y experiencia titulado en marketing comunicacion social ing comercial yo ramas afines experiencia evidenciable minima de 2 anos en puestos similares experiencia en implementacion de programas de rse formacion de posgrado relacionada a la rse  conocimientos en contabilidad objetivos del cargo consolidar el plan para la implementacion del programa de rse de la empresa coordinar acciones de responsabilidad social empresarial programadas analizar sus resultados e implementar mejoras proponer disenar brindar el soporte para la ejecucion y monitoreo de programas de rse de acuerdo a las necesidades de la empresa buscar y mantener vinculos que optimicen las relaciones con los medios de comunicacion y supervisar el monitoreo constante de los mismos elaborar reportes e informes en formatos preestablecidos de avance de gestion del programa rse elaborar notas de presa comunicados internos cartas a medios de comunicacion para difusion de las actividades del programa conocimientos tecnicos microsoft office manejo outlook manejo de excel  manejo de powerpoint habilidades o competencias humanas proactivo compromiso trabajo en equipo solucion de problemas comunicacion efectiva ofrecemos buen ambiente laboral oportunidad de crecimiento profesional las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Coordinador(a) de Responsabilidad Social y Empresarial (RSE) - Santa Cruz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/700936/Coordinador(a)-de-Responsabilidad-Social-y-Empresarial-(RSE)---Santa-Cruz.html?searchId=1546400657&page=1
LUÁ S.R.L.,699189,"Santa Cruz de la Sierra, Bolivia",Marketing y Ventas ,No Declarado ,01 Febrero 2019,03 Marzo 2019,nuestro cliente empresa importadora de lubricantes lider en su rubro requiere incorporar a su equipo de trabajo un profesional para ocupar el cargo de asesor de ventas retail funciones ejecutar la gestion de ventas hasta completar su proceso promocionar la marca y productos de la empresa cumplir con los objetivos de ventas establecidos gestionar ampliar y fidelizar la cartera de clientes requisitos bachiller o estudiante a nivel tecnico experiencia minima 1 ano en venta de lubricantes o consumos masivos no excluyente conocimiento en desarrollo de ventas canal de estaciones de servicio y lubricentros licencia de conducir vigente se ofrecesueldo fijo  comisiones las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Asesor(a) de Ventas Retail,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/699189/Asesor(a)-de-Ventas-Retail.html?searchId=1546400657&page=1
LUÁ S.R.L.,699198,"Santa Cruz de la Sierra, Bolivia",Marketing y Ventas ,No Declarado ,01 Febrero 2019,03 Marzo 2019,nuestro cliente empresa importadora de lubricantes lider en su rubro requiere incorporar a su equipo de trabajo un profesional para ocupar el cargo de asesor de ventas en provincias funciones planificar y organizar visitas a clientes realizar reportes pronosticos y seguimientos de ventas asesoramiento al cliente sobre los productos requisitos experiencia de 2 anos en ventas de lubricantes o productos masivos disponibilidad para realizar viajes y contar con licencia de conducir se ofrecesueldo fijo  comisiones las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Asesor(a) de Ventas en Provincias,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/699198/Asesor(a)-de-Ventas-en-Provincias.html?searchId=1546400657&page=1
CIMAL,715438,"Santa Cruz de la Sierra, Bolivia","Administración y Oficina,Marketing y Ventas ",No Declarado ,01 Febrero 2019,03 Marzo 2019,cimal empresa lider en su rubro requiere incorporar encargado de agenciabase santa cruz objetivorealizar el analisis de las ventas de la plaza control del flujo de caja del inventario y de las condiciones del mercado utilizando cada una de las herramientas existentes para evaluar el desempeno de las ventas de la agencia requisitos formacion en administracion de empresas ingenieria comercial o ramas afines al menos 3 anos de experiencia en puestos similares conocimientos de ventas en el rubro industrial o de construccion experiencia en elaboracion de presupuestos de gastos de inversion y reportes de ventas manejo de equipos de ventas manejo de ms office funciones supervisar el desempeno de ventas diarios de la agencia solicitar recepcionar y administrar los productos necesarios para la ejecucion de las ventas de las agencia responsable del inventario tanto las entradas como salidas de material sugerir mejoras para implementar en la agencia con la finalidad de cumplir y superar las metas de ventas administrar a todo el personal de la agencia para una adecuada atencion de los clientes cumplimiento de las metas de venta las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Encargado(a) de Agencia - Santa Cruz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/715438/Encargado(a)-de-Agencia---Santa-Cruz.html?searchId=1546400657&page=1
LUÁ S.R.L.,700983,"Santa Cruz de la Sierra, Bolivia",Marketing y Ventas ,No Declarado ,01 Febrero 2019,03 Marzo 2019,nuestro cliente una empresa industrial y de agronegocios requiere incorporar a su equipo de trabajo un coordinador de ventas interior mision del cargogestionar desarrollar y supervisar las ventas en el interior del pais funciones supervisar y realizar la gestion de venta en las diferentes regionales participar de diferentes ferias para exponer y organizar la venta de productos analizar el mercado periodicamente realizar el seguimientos en las ventas de los clientes en las diferentes regionales verificar las cobranzas efectuadas por las regionales elaborar informes mensuales de las actividades desarrolladas requisitos tecnico superior o licenciatura en el area comercial o administrativa experiencia de 3 anos en ventas de productos masivos conocimiento en administracion de cartera de clientes experiencia en estrategias de ventas y cobranzas manejo de promotores y cobradores disponibilidad para realizar viajes al interior del pais manejo de microsoft office se ofrecesueldo fijo  comisiones las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Coordinador(a) de Ventas Interior,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/700983/Coordinador(a)-de-Ventas-Interior.html?searchId=1546400657&page=1
